id,cycle,setting1,setting2,s2,s3,s4,s6,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21,av2,av3,av4,av6,av7,av8,av9,av11,av12,av13,av14,av15,av17,av20,av21,sd2,sd3,sd4,sd6,sd7,sd8,sd9,sd11,sd12,sd13,sd14,sd15,sd17,sd20,sd21,ttf,label_bnc
1,31,-0.0006,0.0004,642.58,1581.22,1398.91,21.61,554.42,2388.08,9056.4,47.23,521.79,2388.06,8130.11,8.4024,393,38.81,23.3552,642.266,1586.998,1399.918,21.61,554.116,2388.082,9050.324,47.288,521.924,2388.064,8132.031999999999,8.4262,392.0,38.924,23.3735,0.3938654592622749,4.683862722155818,1.3626885190693168,0.0,0.3382750360282371,0.0083666002626857,5.200800899864842,0.1522169504358771,0.2615912842582457,0.0288097205818325,3.302941113616208,0.0211740407102672,0.7071067811865349,0.1240161279834249,0.0250372722156417,112,0
2,49,0.0018,-0.0001,642.55,1586.59,1410.83,21.61,553.52,2388.1,9044.77,47.67,521.74,2388.09,8126.9,8.4505,391,38.81,23.2618,642.672,1588.342,1406.778,21.61,553.748,2388.108,9047.032,47.506,521.5959999999999,2388.102,8127.672,8.442260000000001,392.2,38.902,23.27434,0.1678392087685813,1.559669836855882,4.535578243179136,0.0,0.3577289476685887,0.0443846820428802,3.0449006551892297,0.0983869910099811,0.4502554830314395,0.0083666002633017,1.370062042394412,0.0114292606935048,1.095445115010327,0.0697853852894948,0.0278204600968161,98,0
3,126,-0.0016,0.0004,642.88,1589.75,1418.89,21.61,552.59,2388.16,9049.26,47.88,520.83,2388.14,8131.46,8.4119,395,38.93,23.274,642.874,1592.64,1413.35,21.61,552.702,2388.166,9047.406,47.706,520.722,2388.174,8129.666,8.458680000000001,394.2,38.686,23.24412,0.287367360707529,4.20515160249804,3.3579755806130582,0.0,0.2926089540679025,0.0288097205771978,1.608782148051204,0.1119374825517177,0.4182343840482983,0.029664793953833,2.97909046522832,0.030924294656452,0.8366600265340581,0.1436314728741723,0.018966470414912,69,0
4,106,0.0012,0.0004,642.78,1594.53,1406.88,21.61,552.64,2388.13,9051.3,47.65,521.88,2388.11,8133.64,8.4634,395,38.58,23.2581,642.786,1591.918,1410.736,21.61,553.4440000000001,2388.116,9054.8,47.642,521.434,2388.114,8134.327999999999,8.45182,393.6,38.758,23.25156,0.1064424727221961,2.818611360226509,5.28210469415376,0.0,0.5909991539757856,0.0581377674138031,4.536805043195924,0.0465832587952593,0.3632905173548242,0.0270185121721487,0.6229526466863214,0.0212488117314818,1.3416407864998463,0.1263724653553902,0.021105994409164,82,0
5,98,-0.0013,-0.0004,642.27,1589.94,1419.36,21.61,553.29,2388.1,9053.99,47.46,521.0,2388.15,8125.74,8.4362,394,38.75,23.4117,642.702,1591.568,1411.7959999999998,21.61,553.158,2388.1220000000003,9053.329999999998,47.536,521.0620000000001,2388.134,8128.798,8.43662,393.4,38.81,23.29114,0.2595573154426523,1.4966195241288442,5.309739164969908,0.0,0.4541695718560228,0.0389871773803303,3.212716918741053,0.1591540134586584,0.2602306669087869,0.0230217288651814,1.923608588034124,0.0096274087894904,0.5477225575052446,0.0919238815542428,0.1011001137487052,91,0
6,105,0.0076,-0.0003,643.05,1586.94,1404.49,21.61,553.73,2388.14,9055.83,47.51,521.56,2388.15,8139.02,8.4452,393,38.91,23.3269,642.586,1588.934,1406.044,21.610000000000003,553.2900000000001,2388.146,9052.462,47.516,521.382,2388.116,8132.738,8.448739999999999,392.8,38.774,23.28456,0.512474389604062,1.860653111139795,1.7129594274229538,0.0,0.3166228039796449,0.0260768096249242,2.259617224219064,0.0698569967862527,0.2057182539298491,0.0288097205849993,4.295633829830146,0.0074875229549238,0.4472135955000326,0.1533949151699649,0.0717942755378303,93,0
7,160,0.0016,-0.0001,642.1,1589.59,1413.57,21.61,553.42,2388.04,9070.99,47.32,522.32,2388.07,8149.19,8.4028,393,38.91,23.2763,642.216,1587.0220000000002,1407.3719999999998,21.61,553.876,2388.028,9067.832,47.35,522.192,2388.054,8145.867999999999,8.4241,393.0,38.956,23.33198,0.3095642098171104,3.2244798030055986,5.8127936484966805,0.0,0.4504220243289351,0.0216794833881762,7.970515667125185,0.0897217922245523,0.3264506088216328,0.0320936130681938,2.739885034087493,0.0167182534973258,0.0,0.0983869910099934,0.0636944817075998,91,0
8,166,0.0016,-0.0005,642.59,1591.91,1413.89,21.61,553.51,2388.14,9049.96,47.59,520.53,2388.12,8127.84,8.4744,393,38.73,23.2465,642.8900000000001,1592.436,1410.176,21.610000000000003,553.184,2388.13,9049.198,47.546,520.892,2388.1159999999995,8129.840000000001,8.4539,392.8,38.78,23.29198,0.2610555496438774,3.8163241476589023,4.324191253863985,0.0,0.3369421315314829,0.0264575131087139,3.1616641187870465,0.0502991053598645,0.2071714266021333,0.0230217288651221,2.017424100181237,0.0183013660692254,0.4472135954999373,0.0543139024558603,0.0364366848107699,95,0
9,55,-0.0003,0.0004,642.27,1593.61,1410.27,21.61,552.58,2388.13,9057.57,47.58,521.65,2388.16,8134.76,8.4293,392,38.78,23.3515,642.55,1588.58,1407.5300000000002,21.61,553.2520000000001,2388.134,9052.437999999998,47.584,521.528,2388.1420000000003,8133.514,8.44332,392.8,38.794,23.33906,0.344746283518452,3.6429589621621994,2.5808428855699628,0.0,0.5222738745142993,0.0054772255759235,4.220565128039841,0.0923579991121667,0.3614830563109685,0.0383405790237512,3.909556240800356,0.0135250508317064,0.836660026534056,0.0151657508879172,0.0479284153712673,111,0
10,192,-0.0018,0.0004,643.0,1589.5,1398.99,21.61,552.88,2388.11,9060.88,47.59,521.82,2388.08,8141.91,8.4194,393,38.79,23.2956,642.798,1589.724,1403.658,21.61,553.574,2388.094,9061.646,47.436,521.546,2388.056,8140.204,8.4301,392.8,38.864,23.2793,0.2350957251852088,4.128611146621649,6.276373953167783,4.01717210374314e-09,0.4933862584219807,0.032863353450575,2.6367745447828623,0.1786896751355297,0.161493033903284,0.016733200525445,3.062242642242869,0.0304894243960088,0.8366600265340411,0.0879204185613404,0.0558610329299524,96,0
